V;uA
0.102075;0.64400
0.112283;209.999
0.12249;330.399
0.132698;429.798
0.142905;517.998
0.153113;596.397
0.163321;662.197
0.173528;718.197
0.183736;775.597
0.193943;824.596
0.204151;863.796
0.214358;905.796
0.224566;940.796
0.234774;970.196
0.244981;995.396
0.255189;1.020.595
0.265396;1.040.195
0.275604;1.051.395
0.285811;1.065.395
0.296019;1.075.195
0.306227;1.076.595
0.316434;1.082.195
0.326642;1.086.395
0.336849;1.086.395
0.347057;1.084.995
0.357264;1.089.195
0.367472;1.091.995
0.37768;1.089.195
0.387887;1.101.795
0.398095;1.121.395
0.408302;1.145.195
0.41851;1.185.795
0.428717;1.245.994
0.438925;1.321.594
0.449133;1.419.594
0.45934;1.542.793
0.469548;1.684.192
0.479755;1.842.392
0.489963;2.020.191
0.50017;2.210.590
0.510378;2.407.989
0.520586;2.615.188
0.530793;2.826.587
0.541001;3.035.186
0.551208;3.235.385
0.561416;3.418.785
0.571623;3.576.984
0.581831;3.697.383
0.592039;3.786.983
0.602246;3.834.583
0.612454;3.841.583
0.622661;3.816.383
0.632869;3.768.783
0.643076;3.700.183
0.653284;3.620.384
0.663492;3.546.184
0.673699;3.467.784
0.683907;3.389.385
0.694114;3.322.185
0.704322;3.260.585
0.714529;3.205.985
0.724737;3.165.386
0.734945;3.141.586
0.745152;3.123.386
0.75536;3.114.986
0.765567;3.126.186
0.775775;3.144.386
0.785982;3.166.786
0.79619;3.207.386
0.806398;3.275.985
0.816605;3.369.785
0.826813;3.488.784
0.83702;3.638.584
0.847228;3.812.183
0.857435;4.005.382
0.867643;4.230.781
0.87785;4.479.980
0.888058;4.757.179
0.898266;5.070.777
0.908473;5.424.976
0.918681;5.825.374
0.928888;6.280.372
0.939096;6.791.369
0.949303;7.369.567
0.959511;8.014.964
0.969719;8.716.361
0.979926;9.462.558
0.990134;9.207.758
1.000.341;8.713.561
0.990134;8.310.362
0.979926;7.972.964
0.969719;7.678.966
0.959511;7.249.167
0.949303;6.404.972
0.939096;5.602.775
0.928888;4.846.778
0.918681;4.138.382
0.908473;3.487.384
0.898266;2.895.187
0.888058;2.360.389
0.87785;1.884.391
0.867643;1.468.593
0.857435;1.104.595
0.847228;783.997
0.83702;503.998
0.826813;267.399
0.816605;0.53200
0.806398;-131.599
0.79619;-292.599
0.785982;-440.298
0.775775;-580.297
0.765567;-708.397
0.75536;-826.696
0.745152;-949.196
0.734945;-1.065.395
0.724737;-1.174.595
0.714529;-1.287.994
0.704322;-1.400.694
0.694114;-1.507.793
0.683907;-1.614.193
0.673699;-1.724.092
0.663492;-1.828.392
0.653284;-1.927.091
0.643076;-2.036.991
0.632869;-2.143.390
0.622661;-2.244.190
0.612454;-2.347.089
0.602246;-2.444.389
0.592039;-2.532.589
0.581831;-2.616.588
0.571623;-2.701.988
0.561416;-2.779.688
0.551208;-2.848.987
0.541001;-2.921.087
0.530793;-2.988.987
0.520586;-3.052.686
0.510378;-3.121.986
0.50017;-3.195.486
0.489963;-3.275.285
0.479755;-3.359.285
0.469548;-3.452.385
0.45934;-3.548.984
0.449133;-3.645.584
0.438925;-3.744.283
0.428717;-3.839.483
0.41851;-3.917.882
0.408302;-3.975.282
0.398095;-4.010.282
0.387887;-4.020.082
0.37768;-4.005.382
0.367472;-3.982.282
0.357264;-3.948.682
0.347057;-3.905.282
0.336849;-3.863.283
0.326642;-3.820.583
0.316434;-3.774.383
0.306227;-3.728.183
0.296019;-3.686.183
0.285811;-3.646.984
0.275604;-3.600.784
0.265396;-3.565.084
0.255189;-3.530.084
0.244981;-3.490.184
0.234774;-3.455.884
0.224566;-3.426.484
0.214358;-3.395.684
0.204151;-3.364.185
0.193943;-3.341.085
0.183736;-3.317.285
0.173528;-3.287.185
0.163321;-3.265.485
0.153113;-3.245.885
0.142905;-3.222.786
0.132698;-3.201.085
0.12249;-3.183.586
0.112283;-3.163.986
0.102075;-3.140.886
0.091868136;-3.126.186
0.08166056;-3.113.586
0.071452992;-3.098.186
0.06124542;-3.089.786
0.051037852;-3.084.886
0.04083028;-3.079.986
0.03062271;-3.079.986
0.02041514;-3.088.386
0.01020757;-3.101.686
0;-3.116.386
?;
