V,uA
0.102075,0.643997
0.112283,2.09999
0.12249,3.303985
0.132698,4.297981
0.142905,5.179977
0.153113,5.963973
0.163321,6.62197
0.173528,7.181967
0.183736,7.755965
0.193943,8.245962
0.204151,8.637961
0.214358,9.057959
0.224566,9.407957
0.234774,9.701956
0.244981,9.953955
0.255189,10.205954
0.265396,10.401953
0.275604,10.513953
0.285811,10.653952
0.296019,10.751952
0.306227,10.765952
0.316434,10.821951
0.326642,10.863951
0.336849,10.863951
0.347057,10.849951
0.357264,10.891951
0.367472,10.919951
0.37768,10.891951
0.387887,11.01795
0.398095,11.21395
0.408302,11.451948
0.41851,11.857947
0.428717,12.459944
0.438925,13.21594
0.449133,14.195936
0.45934,15.427931
0.469548,16.841924
0.479755,18.423918
0.489963,20.20191
0.50017,22.1059
0.510378,24.079892
0.520586,26.151882
0.530793,28.265872
0.541001,30.351864
0.551208,32.353854
0.561416,34.187848
0.571623,35.76984
0.581831,36.973832
0.592039,37.869828
0.602246,38.345828
0.612454,38.415828
0.622661,38.163828
0.632869,37.687828
0.643076,37.001832
0.653284,36.203836
0.663492,35.46184
0.673699,34.677844
0.683907,33.893848
0.694114,33.22185
0.704322,32.605854
0.714529,32.059854
0.724737,31.653856
0.734945,31.41586
0.745152,31.23386
0.75536,31.149858
0.765567,31.26186
0.775775,31.443858
0.785982,31.66786
0.79619,32.073858
0.806398,32.759852
0.816605,33.697848
0.826813,34.887844
0.83702,36.385836
0.847228,38.121828
0.857435,40.05382
0.867643,42.307812
0.87785,44.7998
0.888058,47.571788
0.898266,50.707772
0.908473,54.249756
0.918681,58.25374
0.928888,62.803716
0.939096,67.913688
0.949303,73.695672
0.959511,80.14964
0.969719,87.163608
0.979926,94.625576
0.990134,92.077584
1.000341,87.135608
0.990134,83.103624
0.979926,79.72964
0.969719,76.789656
0.959511,72.491672
0.949303,64.049716
0.939096,56.027748
0.928888,48.46778
0.918681,41.383816
0.908473,34.873844
0.898266,28.95187
0.888058,23.603894
0.87785,18.843914
0.867643,14.685934
0.857435,11.045951
0.847228,7.839965
0.83702,5.039977
0.826813,2.673988
0.816605,0.531997
0.806398,-1.315994
0.79619,-2.925986
0.785982,-4.40298
0.775775,-5.802974
0.765567,-7.083968
0.75536,-8.266963
0.745152,-9.491957
0.734945,-10.653952
0.724737,-11.745947
0.714529,-12.879942
0.704322,-14.006937
0.694114,-15.077932
0.683907,-16.141928
0.673699,-17.240924
0.663492,-18.283916
0.653284,-19.270914
0.643076,-20.369908
0.632869,-21.433904
0.622661,-22.441898
0.612454,-23.470894
0.602246,-24.44389
0.592039,-25.325886
0.581831,-26.165882
0.571623,-27.019878
0.561416,-27.796876
0.551208,-28.489872
0.541001,-29.210868
0.530793,-29.889866
0.520586,-30.526862
0.510378,-31.21986
0.50017,-31.954856
0.489963,-32.752854
0.479755,-33.592848
0.469548,-34.523848
0.45934,-35.48984
0.449133,-36.455836
0.438925,-37.442832
0.428717,-38.394828
0.41851,-39.178824
0.408302,-39.752824
0.398095,-40.10282
0.387887,-40.20082
0.37768,-40.05382
0.367472,-39.82282
0.357264,-39.486824
0.347057,-39.052824
0.336849,-38.632828
0.326642,-38.205828
0.316434,-37.743832
0.306227,-37.281832
0.296019,-36.861832
0.285811,-36.469836
0.275604,-36.00784
0.265396,-35.65084
0.255189,-35.300844
0.244981,-34.901844
0.234774,-34.558844
0.224566,-34.264844
0.214358,-33.956844
0.204151,-33.641848
0.193943,-33.41085
0.183736,-33.17285
0.173528,-32.871852
0.163321,-32.654854
0.153113,-32.458854
0.142905,-32.227856
0.132698,-32.010854
0.12249,-31.835858
0.112283,-31.639858
0.102075,-31.40886
0.091868136,-31.26186
0.08166056,-31.13586
0.071452992,-30.98186
0.06124542,-30.897862
0.051037852,-30.848862
0.04083028,-30.799862
0.03062271,-30.799862
0.02041514,-30.88386
0.01020757,-31.016862
0,-31.16386
?
